Assignment,Rarity,Eng,Tac,Sci,Hours,Minutes
Analyze Newly Discovered Phenomenon,Uncommon,45,45,105,3,30
Assist Warbird Damaged by Pirates,Rare,95,65,65,0,45
Attempt to Dampen Unknown Signal,VeryRare,90,90,160,3,0
Attempt to Disperse Dangerous Phenomenon,Rare,70,70,125,3,0
Break Pirate Blockade,Common,20,45,20,1,30
Calibrate Automated Perimeter Defense,Common,15,25,15,0,30
Calibrate Defense Perimeter,Common,15,25,15,0,30
Capture Escaped Tal Shiar Agent,VeryRare,95,160,95,3,30
Capture Violent Escaped Criminal,VeryRare,95,160,95,3,30
Check Status of Isolated Colony,Common,15,15,15,0,30
Check Status of Isolated Forward Base,Common,80,80,80,2,0
Check Status of Isolated Research Station,Rare,80,80,80,2,0
Check Status of Isolated Surveillance Station,Rare,80,80,80,2,0
Clean Up Derelict Mine Field,Rare,125,80,80,4,0
Clear Stellar Debris for Starbase Construction,Rare,120,70,70,2,30
Coerce Diplomats with Show of Force,VeryRare,80,130,80,0,15
Collect Rare Resources at Diplomatic Exchange,Rare,75,75,75,0,30
Collect Tribute,Rare,75,75,75,0,30
Conduct Salvage Operations,Uncommon,60,30,30,0,15
Conduct Shipping Regulation Enforcement Patrols,VeryRare,145,85,85,2,0
Defend Supply Lines for Medical Emergency,Common,15,15,35,0,45
Defend Supply Lines for Medical Station,Common,15,15,35,0,45
Deliver Sensor Readings to Research Post,Common,10,10,20,0,15
Demolish Illegal Blockade,Common,20,45,20,1,30
Demolish Pirate Blockade,Common,20,45,20,1,30
Destroy Aggressive Defense Installations,VeryRare,190,95,95,4,0
Destroy Imperial Romulan Mine Field,VeryRare,190,95,95,4,0
Discourage Syndicate Raids in Ferengi Space,VeryRare,80,130,80,0,15
Disintegrate Derelict Klingon Vessels,Rare,95,65,65,0,45
Dismantle Illegal Mine Field,VeryRare,190,95,95,4,0
Dismantle Mines Surrounding Neutral World,Rare,125,80,80,4,0
Dismantle Unnecessary Mine Nets,Rare,125,80,80,4,0
Dispatch First Response Team to Medical Emergency,Uncommon,30,30,80,0,30
Disperse Hostile Blockade by Alien Intruders,VeryRare,85,145,85,1,30
Divert Attention of Hostile Spaceborne Entity,VeryRare,85,85,150,2,30
Divert Comet Approaching Trade-Partner’s Planet,Common,55,20,20,2,30
Divert Comet from Inhabited Planet,Common,55,20,20,2,30
Divert Comet from Republic Planet,Common,55,20,20,2,30
