Old,New
[I.K.S. Hegh],I.K.S. Hegh
[U.S.S. Rhode Island],U.S.S. Rhode Island
Temporal Dreadnought [T6],Temporal Dreadnought Cruiser [T6]
Breen Chel Grett Warship (T6),Breen Chel Boalg Warship (T6)
Pathfinder Long Range Sci Vessel (T6),Pathfinder Long Range Science Vessel (T6)
QeHpu’ Advanced Light Battlecruiser (T6),QeHpu' Advanced Light Battlecruiser (T6)
Fleet QeHpu’ Advanced Light Battlecruiser (T6),Fleet QeHpu' Advanced Light Battlecruiser (T6)
Mur’Eq Operations Miracle Worker Cruiser (T6),Mur'Eq Operations Miracle Worker Cruiser (T6)
Naj’sov Research Vessel (T6),Naj'sov Research Vessel (T6)
Qul’poH Temporal Science Vessel (T6),Qul'poH Temporal Science Vessel (T6)
Chargh’poH Temporal Destroyer (T6),Chargh'poH Temporal Destroyer (T6)
T’liss Temporal Warbird (T6),T'liss Temporal Warbird (T6)
Tal’aura Temporal Destroyer (T6),Tal'aura Temporal Destroyer (T6)
Quark’s Triumph,Quark's Triumph
Son’a Intel Battlecruiser (T6),Son'a Intel Battlecruiser (T6)
Kelvin Timeline T’laru Intel Carrier Warbird (T6),Kelvin Timeline T'laru Intel Carrier Warbird (T6)
Lukari Ho’kuun Science Vessel (T6),Lukari Ho'kuun Science Vessel (T6)
Son’a Collector Science Dreadnought (T6),Son'a Collector Science Dreadnought (T6)
Son’a Command Science Vessel (T6),Son'a Command Science Vessel (T6)
Amarie-class Smuggler’s Heavy Escort (T6),Amarie-class Smuggler's Heavy Escort (T6)
Jem’Hadar Dreadnought Carrier (T6),Jem'Hadar Dreadnought Carrier (T6)
Vorgon Ryn’kodan Carrier (T6),Vorgon Ryn'kodan Carrier (T6)
Vorgon Ytijara Dreadnought Cruiser,Vorgon Ytijara Dreadnought Cruiser [T6]
