Trait,Attributes,Description
1.21 Terrawatts,,"-Recharge to Capt Abilities from Electrical and Radiation Dmg$$$$ * When receiving Electrical or Radiation Damage,$$ * Reduce Recharge Time on Captain Abilities by 5% (max once per 10 sec)"
Ablative Field Projector,,"While this trait is slotted, your shield healing bridge officer abilities provide a small amount of Temporary Hit Points on the target. This buff stacks up to 3 times."
Adaptive Hull Plating,,+Max HP to self when using Hull Heal or Command BOff ability$$ * Self: +3% Maximum Hull Hit Points
Advanced Firing Solutions,,Gain Turn Rate and Accuracy when firing Cannons or Turrets.$$ * to self: +1 Flight Turn Rate for 10 sec.$$ * to self: +0.8 Accuracy for 10 sec.
Advantageous Positioning,,+Armor Pen with weapons while Flanking$$ * to self: +20 Armor Penetration with weapons while flanking
All Hands On Deck,,-Recharge on Science and Captain abilities.$$ * -10% Recharge Time on Science Bridge Officer abilities.$$ * Self: -5% Recharge Time on Captain Abilities.$$Can occur once every 5 seconds.
Assimilated Power Conduits,,"While this trait is slotted, activating Emergency Power to Auxiliary will grant a boost to Exotic Damage Critical Chance and Exotic Damage Critical Severity for a short time."
Battle Ready,,"+Defense, +Damage Resistance after using an Engineering or Intel Bridge Officer ability.$$ * +7.5 All Damage Resistance Rating for 15 sec when using an Engineering or Intelligence Bridge Officer ability.$$ * to self: +7.5% Defense for 15 sec when using and Engineering or Intelligence Bridge Officer ability."
Black Alert,,"While this trait is active, activating Beam: Overload, Cannon: Rapid Fire, or any Intelligence Bridge Officer Ability will allow temporally-displaced duplicates of your ship to appear near any foes that you damage over the next several seconds. Each of these duplicates will fire Torpedo Spreads at the damaged foe and other nearby targets. This trait may only activate once every 25 sec.$$For 12 sec after activating Beam: Overload, Cannon: Rapid Fire, or any Intel Bridge Officer Ability:$$ * Weapon Damage to Foe creates a Spore Duplicate which attacks Foe and up to 2 other Foes, dealing Kinetic Damage to each before disappearing. (Base Damage is approximately 4,000 per target at level 60.)$$ * Up to four total Spore Duplicates may be created, max once per 3 seconds."
Built To Last,,"After reaching level 5 in your Temporal Light Cruiser [T6], D7 Battlecruiser [T6] or T'Liss Temporal Warbird [T6] Starship Mastery, you will unlock the Built to Last Starship Trait. While this trait is slotted, activating a Hull Healing Bridge Officer ability will apply a weapon power cost reduction and a hull regeneration buff. The hull regeneration buff's effectiveness will increase when triggered at low hull strength."
Catastrophic Overload,,While this trait is slotted activating Jam Sensors will cause it to deal high electrical damage and disable targets in a large area of effect when it expires.
Charged Particle Reaction,,"While this trait is slotted, activating Charged Particle Burst will cause a secondary, less potent version of Charged Particle Burst to be emitted from each target hit by this ability, causing a chain reaction."
Checkmate,,Exotic Damage and Projectile Damage Enhanced by Control Bridge Officer Abilities$$ * +30% Projectile Weapon Damage for 15 sec$$ * +30% Exotic Damage for 15 sec
