Faction,Tier,Name,Rarity,Type,Eng,Tac,Sci,Bonus,Trait
Federation,0,Class F Shuttle,Common,Smc,2,2,2,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Danube Runabout,Common,Smc,3,2,1,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Type 10 Shuttle,Common,Smc,2,2,2,5x Critical Rating from ALL Stats (Not Small Craft),
Federation,0,Type 8 Shuttle,Common,Smc,4,1,1,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Captain's Yacht,Rare,Smc,4,3,3,5x Critical Rating from ALL Stats,
Federation,0,Delta Class Shuttle,Rare,Smc,3,3,4,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Mirror Danube Runabout,Rare,Smc,4,5,1,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Peregrine Attack Fighter,Rare,Smc,3,4,3,5x Critical Rating from ALL Stats,
Federation,0,Stalker Stealth Fighter,Rare,Smc,3,4,3,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Tal'Kyr Support Craft,Rare,Smc,3,1,6,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Type 7 Shuttle,Rare,Smc,5,3,2,5x Critical Rating from ALL Stats,
Federation,0,Yellowstone Runabout,Rare,Smc,3,4,3,5x Critical Rating from ALL Stats,
Federation,0,Aeon Timeship,Ultra Rare,Smc,3,4,7,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,1,Light Cruiser,Common,Eng,5,5,5,2x Critical Rating from Events,
Federation,1,Utility Cruiser,Common,Eng,6,5,4,2x Critical Rating from Events,
Federation,1,TOS Light Cruiser,Rare,Eng,6,6,6,2.5x Critical Rating from ENG,
Federation,1,Oberth Light Science Vessel,Rare,Sci,4,4,10,2.5x Critical Rating from SCI,
Federation,1,Andorian Light Escort,Rare,Tac,4,10,4,2.5x Critical Rating from TAC,
Federation,1,Blockade Runner Escort,Rare,Tac,6,7,5,1.5x Critical Rating from TAC and ENG,
Federation,1,NX Light Escort,Rare,Tac,5,8,5,1.5x Critical Rating from TAC and SCI,
Federation,2,Cruiser,Common,Eng,14,8,8,+8 ENG per SciShip or TacShip,
Federation,2,Cruiser Refit,Rare,Eng,18,9,9,1.5x Critical Rating from SCI or TAC,
Federation,2,Science Vessel,Common,Sci,8,8,14,+8 SCI per EngShip or TacShip,
Federation,2,Science Vessel Refit,Rare,Sci,9,9,18,1.5x Critical Rating from ENG or TAC,
Federation,2,Temporal Science Vessel,Rare,Sci,6,11,19,Ignores +/- SCI from Events,
Federation,2,Escort,Common,Tac,8,14,8,+8 TAC per EngShip or SciShip,
Federation,2,Escort Refit,Rare,Tac,9,18,9,1.5x Critical Rating from ENG or SCI,
Federation,3,Heavy Cruiser,Common,Eng,23,11,11,2.5x Critical Rating from ENG,
Federation,3,Support Cruiser,Common,Eng,22,10,13,1.5x Critical Rating from ENG and SCI,
Federation,3,Advanced Heavy Cruiser,Rare,Eng,26,16,12,1.5x Critical Rating from TAC and ENG,
Federation,3,Heavy Cruiser Refit,Rare,Eng,28,13,13,Ignore +/- ENG from Events,
Federation,3,Research Science Vessel,Common,Sci,11,11,23,2.5x Critical Rating from SCI,
Federation,3,Advanced Science Vessel,Rare,Sci,13,13,28,Ignore +/- SCI from Events,
Federation,3,Heavy Escort,Common,Tac,11,23,11,2.5x Critical Rating from TAC,
Federation,3,Heavy Escort Refit,Rare,Tac,13,28,13,Ignore +/- TAC from Events,
Federation,3,Temporal Escort,Rare,Tac,9,30,15,Ignores +/- TAC from Events,
Federation,4,Exploration Cruiser,Common,Eng,36,12,12,+8 ENG per SciShip or TacShip,
Federation,4,Exploration Cruiser Refit,Rare,Eng,42,15,15,1.5x Critical Rating from TAC and SCI,
Federation,4,Temporal Cruiser,Rare,Eng,38,20,14,Ignores +/- ENG from Events,
Federation,4,Long Range Science Vessel,Common,Sci,12,12,36,+8 SCI per EngShip or TacShip,
Federation,4,Long Range Science Vessel Refit,Rare,Sci,15,15,42,1.5x Critical Rating from ENG and TAC,
Federation,4,Tactical Escort,Common,Tac,12,36,12,+8 TAC per EngShip or SciShip,
Federation,4,Tactical Escort Refit,Rare,Tac,15,42,15,1.5x Critical Rating from ENG and SCI,
Federation,5,Assault Cruiser,Common,Eng,47,17,11,+10 TAC per TacShip,
Federation,5,Heavy Cruiser Retrofit,Common,Eng,50,14,11,-10% Maintenance per SciShip or TacShip,
Federation,5,Odyssey Star Cruiser,Common,Eng,46,13,16,-5% Maintenance per Ship,
Federation,5,Star Cruiser,Common,Eng,47,11,17,+10 SCI per SciShip,
Federation,5,Advanced Heavy Cruiser Retrofit,Rare,Eng,52,19,19,+5 SCI and TAC per SciShip or TacShip,
